Tabu search v 1.0

Ilosc iteracji: 100000
Dlugosc listy tabu: 250
Ilosc sklepow: 20
Ilosc produktow: 10



Aktualna wartosc f celu: 1442
Aktualna droga: 
	(15, 4)
	(9, 7)
	(1, 3)
	(20, 2)
	(17, 10)
	(3, 1)
	(4, 9)
	(2, 5)
	(7, 6)
	(6, 8)
	(5, 0)
	(8, 0)
	(10, 0)
	(11, 0)
	(12, 0)
	(13, 0)
	(14, 0)
	(16, 0)
	(18, 0)
	(19, 0)
0	1391
1	1348
2	1306
3	1272
4	1249
5	1238
6	1211
7	1201
8	1201
9	1201
10	1201
11	1201
12	1201
13	1201
14	1201
15	1201
16	1201
17	1201
18	1201
19	1201
20	1201
21	1201
22	1201
23	1201
24	1201
25	1201
26	1201
27	1201
28	1201
29	1201
30	1201
31	1201
32	1201
33	1201
34	1201
35	1201
36	1201
37	1201
38	1201
39	1201
40	1201
41	1201
42	1201
43	1201
44	1201
45	1201
46	1201
47	1201
48	1201
49	1201
50	1201
51	1201
52	1201
53	1208
54	1218
55	1218
56	1218
57	1218
58	1218
59	1218
60	1218
61	1218
62	1218
63	1218
64	1224
65	1225
66	1225
67	1225
68	1225
69	1225
70	1225
71	1225
72	1225
73	1225
74	1225
75	1238
76	1231
77	1231
78	1231
79	1231
80	1231
81	1231
82	1231
83	1231
84	1231
85	1233
86	1233
87	1233
88	1233
89	1233
90	1233
91	1233
92	1233
93	1233
94	1233
95	1233
96	1247
97	1235
98	1241
99	1238
100	1254
101	1261
102	1277
103	1281
104	1274
105	1274
106	1274
107	1274
108	1274
109	1274
110	1274
111	1274
112	1274
113	1274
114	1285
115	1285
116	1285
117	1285
118	1285
119	1285
120	1285
121	1285
122	1285
123	1285
124	1291
125	1291
126	1308
127	1321
128	1303
129	1312
130	1310
131	1312
132	1312
133	1312
134	1312
135	1312
136	1312
137	1312
138	1312
139	1312
140	1320
141	1314
142	1311
143	1323
144	1313
145	1313
146	1335
147	1315
148	1306
149	1274
150	1289
151	1303
152	1303
153	1303
154	1303
155	1303
156	1303
157	1303
158	1303
159	1303
160	1316
161	1338
162	1338
163	1347
164	1367
165	1360
166	1360
167	1374
168	1395
169	1412
170	1435
171	1447
172	1467
173	1440
174	1448
175	1475
176	1471
177	1471
178	1471
179	1471
180	1471
181	1505
182	1504
183	1516
184	1499
185	1499
186	1526
187	1526
188	1526
189	1526
190	1526
191	1544
192	1546
193	1546
194	1489
195	1550
196	1577
197	1605
198	1627
199	1611
200	1684
201	1617
202	1614
203	1597
204	1597
205	1597
206	1626
207	1654
208	1633
209	1633
210	1632
211	1628
212	1628
213	1644
214	1634
215	1644
216	1587
217	1574
218	1565
219	1587
220	1548
221	1572
222	1569
223	1569
224	1569
225	1621
226	1600
227	1600
228	1585
229	1584
230	1584
231	1599
232	1604
233	1598
234	1594
235	1545
236	1555
237	1633
238	1569
239	1567
240	1564
241	1564
242	1564
243	1553
244	1553
245	1574
246	1538
247	1538
248	1551
249	1578
250	1628
251	1641
252	1610
253	1599
254	1535
255	1577
256	1549
257	1565
258	1602
259	1580
260	1580
261	1605
262	1608
263	1608
264	1598
265	1592
266	1638
267	1614
268	1589
269	1589
270	1608
271	1630
272	1630
273	1650
274	1641
275	1635
276	1640
277	1640
278	1624
279	1654
280	1654
281	1575
282	1573
283	1605
284	1605
285	1594
286	1589
287	1589
288	1619
289	1570
290	1570
291	1587
292	1607
293	1607
294	1615
295	1615
296	1578
297	1576
298	1594
299	1594
300	1615
301	1648
302	1648
303	1567
304	1519
305	1536
306	1536
307	1491
308	1491
309	1542
310	1528
311	1478
312	1532
313	1532
314	1523
315	1514
316	1549
317	1551
318	1585
319	1585
320	1595
321	1611
322	1611
323	1622
324	1633
325	1633
326	1652
327	1753
328	1691
329	1669
330	1669
331	1702
332	1652
333	1641
334	1641
335	1622
336	1618
337	1618
338	1618
339	1538
340	1584
341	1602
342	1602
343	1564
344	1561
345	1630
346	1608
347	1588
348	1594
349	1594
350	1583
351	1583
352	1583
353	1604
354	1615
355	1608
356	1608
357	1577
358	1585
359	1529
360	1548
361	1548
362	1538
363	1545
364	1513
365	1507
366	1507
367	1507
368	1529
369	1508
370	1531
371	1517
372	1517
373	1492
374	1515
375	1494
376	1486
377	1481
378	1502
379	1515
380	1515
381	1515
382	1515
383	1515
384	1540
385	1525
386	1533
387	1575
388	1581
389	1581
390	1592
391	1609
392	1657
393	1604
394	1612
395	1595
396	1573
397	1568
398	1553
399	1537
400	1558
401	1574
402	1604
403	1663
404	1642
405	1642
406	1636
407	1616
408	1611
409	1636
410	1588
411	1600
412	1600
413	1600
414	1574
415	1504
416	1508
417	1484
418	1486
419	1527
420	1488
421	1509
422	1549
423	1553
424	1571
425	1586
426	1606
427	1571
